,Run,datasets/hr500k.conllup_extracted.json,datasets/reldi-normtagner-hr.conllup_extracted.json,datasets/reldi-normtagner-sr.conllup_extracted.json,datasets/set.sr.plus.conllup_extracted.json
99,xlmrl_sl-bcms-30-3,0.93,0.79,0.83,0.95
100,xlmrl_sl-bcms-36-0,0.93,0.77,0.78,0.93
101,xlmrl_sl-bcms-36-1,0.93,0.79,0.8,0.93
102,xlmrl_sl-bcms-36-2,0.94,0.79,0.8,0.94
103,xlmrl_sl-bcms-36-3,0.93,0.81,0.83,0.94
104,xlmrl_sl-bcms-42-0,0.93,0.83,0.78,0.95
105,xlmrl_sl-bcms-42-1,0.92,0.8,0.82,0.94
106,xlmrl_sl-bcms-42-2,0.92,0.75,0.79,0.95
107,xlmrl_sl-bcms-42-3,0.93,0.77,0.82,0.96
108,xlmrl_sl-bcms-48-0,0.92,0.77,0.81,0.94
109,xlmrl_sl-bcms-48-1,0.93,0.78,0.81,0.94
110,xlmrl_sl-bcms-48-2,0.93,0.8,0.78,0.94
111,xlmrl_sl-bcms-48-3,0.92,0.79,0.79,0.94
112,xlmrl_sl-bcms-6-0,0.92,0.78,0.79,0.94
113,xlmrl_sl-bcms-6-1,0.93,0.78,0.8,0.94
114,xlmrl_sl-bcms-6-2,0.92,0.78,0.74,0.93
115,xlmrl_sl-bcms-6-3,0.93,0.8,0.8,0.94
